title
"Node Hours: Total: by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
"System Username","Node Hours: Total"
moorh,67004.1206
honbu,15603.5267
lapwi,15354.0758
meapi,12206.3533
legsh,8590.5158
aytinis,7416.4597
garwa,2773.5564
sarwa,2004.2244
reebu,1757.5094
crane,1622.8178
caspl,1593.1472
smew1,1532.5833
sancr,1494.1239
turdo,1423.1372
duswa,1092.1644
shttr,1026.5661
sposa,1014.8492
chaff,960.0578
yebsa,895.6697
egygo,883.8200
velsc,873.5178
siski,840.4200
grath,802.6467
swath,550.6928
pibgr,500.2031
whtsp,458.9083
hoowa,458.5558
corsh,438.0306
misth,433.1708
ovenb,413.8244
whimb,409.8725
pereg,372.7167
ferdu,350.0389
evegr,282.2633
noror,273.8464
boowa,251.4806
ybsbu,232.4297
shag1,227.8806
yebwa,180.5611
sante,174.8775
dunli,150.5339
sogsh,135.7597
whtpl,132.4094
vertera,120.6086
henha,100.8417
yebbu,100.6989
jackd,87.3878
alpsw,76.3467
mamwa,72.0069
litau,70.2769
lanhach,62.2542
blhbu,59.8692
grgsh,54.6383
rolle,54.6022
gloib,48.0067
field,43.1219
lesre,37.7958
proubis,34.9861
ribgu,31.9097
coot1,23.3244
categ,23.3156
litst,3.6653
allga,2.3450
crama,1.1269
savsp,0.6342
relpa,0.0650
---------
